,COMPLAINT ID,COMPLAINT TYPE,ADDRESS,Neighborhood,STREET NUMBER FROM,STREET NUMBER TO,DIRECTION,STREET NAME,STREET TYPE,INSPECTOR,COMPLAINT DATE,COMPLAINT DETAIL,INSPECTION LOG,DATA SOURCE,Modified Date,LATITUDE,LONGITUDE,LOCATION,Community Area Number,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX
110,DOECOMP23573,Air Pollution Work Order,"4876 N CLARK ST, CHICAGO, IL",Uptown,4876,,N,CLARK,ST,14,04/14/2010,AL-MEDINA AUTO REPAIR & BODY SHOP   SPRAY BOOTH IS VENTING TOWARDS REISDENTS AND CAUSING ODORS STACK IS NOT VENTING STRAIGHT UP.  I DIDN'T DETECT ANY ODORS AT THIS TIME.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,3.0,3.8,24.0,8.9,11.8,22.2,35787,20.0
111,DOECOMP6782,Air Pollution Work Order,"1728 W LELAND AVE, CHICAGO, IL",Uptown,1728,,W,LELAND,AVE,120,10/01/2010,"RESIDENTIAL BLDG.                   CONSTRUCTION DUST GOING ALL OVER THE AREA. OBSERVED DUST AT THE TIME OF INSPECTION. SPOKE WITH FOREMAN ABOUT DUST, SWEEPING STREETS AND WETTING DOWN.",MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,3.0,3.8,24.0,8.9,11.8,22.2,35787,20.0
112,DOECOMP22364,Air Pollution Work Order,"4553 N MAGNOLIA AVE, CHICAGO, IL",Uptown,4553,,N,MAGNOLIA,AVE,120,07/20/2010,BRAL RESTORATION LLC                CONTRACTOR DRY GRINDING MORTOR WITH OUT APPROPRIATE EQUIPMENT. OBSERVED COMPANY GRINDING WITHOUT PERMIT.RESPONDENT CAUSED AND ALLOWED A NUISANCE IN CCONNECTION WITHOUT A BUSINESS. RESPONDENT FAILED TO OBTAIN PERMIT PRIOR TO GRINDING.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,3.0,3.8,24.0,8.9,11.8,22.2,35787,20.0
113,DOECOMP23210,Air Pollution Work Order,"4617 N MAGNOLIA AVE, CHICAGO, IL",Uptown,4617,,N,MAGNOLIA,AVE,120,10/12/2010,RESIDENTIAL BLDG.                   CUTTING STONES WITHOUT USING WATER. NO EVIDENCE OF DUST AT THE TIME OF INSPECTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,3.0,3.8,24.0,8.9,11.8,22.2,35787,20.0
114,DOECOMP23211,Air Pollution Work Order,"4617 N MAGNOLIA AVE, CHICAGO, IL",Uptown,4617,,N,MAGNOLIA,AVE,120,10/18/2010,RESIDENTIAL BLDG.                   CALLER STATES THAT WORKERS ARE CUTTING STONE CAUSING DUST ALL OVER THE AREA NOT USING WATER. OBSERVED NO DUST AT THE TIME OF INSPECTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,3.0,3.8,24.0,8.9,11.8,22.2,35787,20.0
115,DOECOMP35708,Air Pollution Work Order,"1330 W WINONA ST, CHICAGO, IL",Uptown,1330,,W,WINONA,ST,137,06/25/2010,RESIDENTIAL BLDG.                   CALLER STATES THAT WORKERS ARE TEARRING DOWN ROOF THROWING MATERIALS AND BLACK (DUST) PARTICULATE EMISSION ALL OVER COMPLAINANT YARD. RESIDENTIAL ROOFING JOB. DEBRIS OBSERVED ON LOT AND ADJOINING PROPERTY. WASTE DUMSTER ON SITE IN USE. NO WASTE OBSERVED THROWN ROM ROOF DURING INSPECTION. I INFORMED SITE WORKER TO REMOVED DEBRIS FROM ADJOINING PROPERTY AND NOT TO THROW WASTE FROM ROOF.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,3.0,3.8,24.0,8.9,11.8,22.2,35787,20.0
116,DOECOMP8351,Air Pollution Work Order,"1931 W BELMONT AVE, CHICAGO, IL",North Center,1931,,W,BELMONT,AVE,32,03/19/2010,G M CLEANERS                        CALLERS CLAIMS IN COMMON AREA THERE A VERY STRONG CHEMICAL ODORS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,5.0,0.3,7.5,5.2,4.5,26.2,57123,6.0
117,DOECOMP20436,Air Pollution Work Order,"4200 N LINCOLN AVE, CHICAGO, IL",North Center,4200,,N,LINCOLN,AVE,120,05/24/2010,JEWEL'S STORE                       TOXIC PARTICLES IN AIR FROM CONTRACTOR'S DOING WORK. FOUND STYRO FOAM PANELS BEING SANDED AND PARTICLES FALLING TO GROUND. ADVISED CONTRACTOR TO USE VACCUM THE FOLLWING DAY. SITE CLEANED BEFORE MY ARRIVAL.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,5.0,0.3,7.5,5.2,4.5,26.2,57123,6.0
118,DOECOMP14570,Air Pollution Work Order,"2945 W BELMONT AVE, CHICAGO, IL",Avondale,2945,,W,BELMONT,AVE,135,10/06/2010,RESIDENTIAL BLDG.                   CONTRACTOR'S ARE CAUSING DUST ALL OVER THE AREA. NO EVIDENCE OR DUST OR ACTIVITY AT THE TIME OF INSPECTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,21.0,6.0,15.3,9.2,24.7,31.0,20039,42.0
119,DOECOMP17074,Air Pollution Work Order,"3331 N HARDING AVE, CHICAGO, IL",Avondale,3331,,N,HARDING,AVE,85,04/12/2010,RESIDENTIAL BLDG.                   CALLER STATES THAT AT ABOVE LOCATION DURING DEMO CAUSING DUST ALL OVER THE AREA.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,,21.0,6.0,15.3,9.2,24.7,31.0,20039,42.0
